date,open,high,low,close
2020.01.02,1520.26,1531.32,1518.38,1528.77
2020.01.03,1528.25,1553.43,1527.86,1551.44
2020.01.06,1575.89,1582.09,1560.70,1565.63
2020.01.07,1564.53,1577.32,1555.23,1573.24
2020.01.08,1575.99,1611.35,1552.22,1556.36
2020.01.09,1554.75,1561.29,1540.20,1552.08
2020.01.10,1552.91,1563.13,1545.73,1561.76
2020.01.13,1559.55,1560.60,1546.51,1548.34
2020.01.14,1548.13,1548.85,1535.96,1546.25
2020.01.15,1546.37,1558.17,1546.27,1556.22
2020.01.16,1555.18,1558.06,1547.98,1552.46
2020.01.17,1552.29,1561.21,1549.33,1556.83
2020.01.20,1559.00,1562.76,1556.35,1560.50
2020.01.21,1560.88,1568.59,1546.30,1557.91
2020.01.22,1558.01,1559.22,1550.15,1558.60
2020.01.23,1558.55,1567.91,1551.85,1562.80
2020.01.24,1561.79,1575.95,1556.49,1570.90
2020.01.27,1580.71,1588.28,1575.87,1581.88
2020.01.28,1580.91,1583.03,1565.44,1567.78
2020.01.29,1568.65,1578.00,1563.35,1577.11
2020.01.30,1575.25,1585.99,1572.22,1573.85
2020.01.31,1575.06,1590.48,1570.87,1588.83
2020.02.03,1588.65,1592.00,1569.28,1576.30
2020.02.04,1578.56,1579.61,1548.97,1552.74
2020.02.05,1553.18,1562.41,1547.38,1556.41
2020.02.06,1554.67,1568.23,1552.46,1566.46
2020.02.07,1565.81,1574.05,1560.08,1570.00
2020.02.10,1569.27,1577.01,1567.96,1571.87
2020.02.11,1572.09,1574.05,1561.92,1567.63
2020.02.12,1567.49,1570.46,1561.95,1565.73
2020.02.13,1566.13,1578.33,1565.51,1575.98
2020.02.14,1575.91,1585.01,1573.02,1583.69
2020.02.17,1581.25,1583.78,1578.85,1580.86
2020.02.18,1583.69,1605.05,1583.23,1601.35
2020.02.19,1601.17,1612.91,1599.53,1611.34
2020.02.20,1610.97,1623.73,1603.84,1619.26
2020.02.21,1619.70,1649.23,1618.92,1643.73
2020.02.24,1659.37,1689.25,1650.83,1658.50
2020.02.25,1657.47,1658.77,1624.98,1635.26
2020.02.26,1638.13,1654.95,1624.73,1640.50
2020.02.27,1641.12,1660.37,1635.19,1644.23
2020.02.28,1641.91,1649.46,1562.93,1584.70
2020.03.02,1581.79,1610.94,1575.31,1589.75
2020.03.03,1590.45,1649.29,1589.58,1639.48
2020.03.04,1642.09,1653.13,1631.81,1635.73
2020.03.05,1636.57,1674.57,1634.97,1671.58
2020.03.06,1671.61,1692.09,1641.97,1674.06
2020.03.09,1695.92,1703.44,1657.41,1678.15
2020.03.10,1667.73,1671.42,1641.49,1649.37
2020.03.11,1651.93,1671.24,1632.94,1636.63
2020.03.12,1640.10,1650.07,1560.59,1578.63
2020.03.13,1576.30,1597.91,1504.62,1529.78
2020.03.16,1543.04,1562.94,1451.13,1509.09
2020.03.17,1511.75,1553.85,1465.42,1527.80
2020.03.18,1537.29,1543.29,1472.61,1484.63
2020.03.19,1485.30,1500.77,1461.89,1474.34
2020.03.20,1467.47,1515.93,1465.83,1498.64
2020.03.23,1490.20,1561.08,1485.00,1552.39
2020.03.24,1563.45,1632.30,1557.62,1625.33
2020.03.25,1630.56,1638.85,1594.95,1616.35
2020.03.26,1612.40,1644.37,1595.26,1628.93
2020.03.27,1630.20,1631.06,1613.83,1622.55
2020.03.30,1619.97,1632.25,1610.39,1620.31
2020.03.31,1621.75,1622.22,1574.19,1576.78
2020.04.01,1571.41,1599.96,1569.33,1591.26
2020.04.02,1590.36,1620.17,1582.65,1611.66
2020.04.03,1614.39,1626.04,1605.85,1615.70
2020.04.06,1614.62,1669.88,1608.35,1658.19
2020.04.07,1664.81,1674.02,1642.16,1647.94
2020.04.08,1647.27,1656.87,1641.58,1645.40
2020.04.09,1645.41,1690.43,1643.86,1683.56
2020.04.13,1677.47,1723.27,1674.98,1711.98
2020.04.14,1712.25,1747.40,1708.56,1726.54
2020.04.15,1726.54,1731.11,1707.52,1716.50
2020.04.16,1716.49,1738.66,1708.01,1718.38
2020.04.17,1718.48,1718.52,1680.10,1682.14
2020.04.20,1683.02,1702.70,1671.55,1695.28
2020.04.21,1695.40,1697.86,1660.03,1683.54
2020.04.22,1683.79,1718.74,1680.29,1714.87
2020.04.23,1714.66,1738.78,1707.00,1730.31
2020.04.24,1730.56,1736.35,1710.36,1726.41
2020.04.27,1722.32,1727.59,1705.87,1714.94
2020.04.28,1714.90,1716.16,1691.54,1707.65
2020.04.29,1708.02,1717.67,1697.76,1712.89
2020.04.30,1712.95,1721.72,1681.24,1685.98
2020.05.01,1686.02,1705.47,1670.40,1699.60
2020.05.04,1698.03,1713.44,1691.64,1701.00
2020.05.05,1701.13,1712.04,1689.63,1704.71
2020.05.06,1704.51,1708.06,1681.14,1685.19
2020.05.07,1685.19,1722.01,1684.14,1715.25
2020.05.08,1715.52,1723.60,1701.09,1702.09
2020.05.11,1702.38,1711.80,1691.53,1697.64
2020.05.12,1697.67,1710.95,1693.61,1702.26
2020.05.13,1702.09,1718.08,1698.93,1715.30
2020.05.14,1715.31,1736.39,1711.00,1730.06
2020.05.15,1730.06,1751.68,1728.61,1741.85
2020.05.18,1747.36,1765.08,1727.50,1732.20
2020.05.19,1732.05,1748.03,1725.60,1744.24
2020.05.20,1744.07,1753.80,1742.30,1747.21
2020.05.21,1747.24,1748.79,1717.10,1726.76
2020.05.22,1726.70,1740.09,1724.25,1735.45
2020.05.25,1732.11,1733.34,1721.55,1728.22
2020.05.26,1726.06,1735.41,1708.65,1710.31
2020.05.27,1710.41,1715.99,1693.62,1709.57
2020.05.28,1709.27,1727.57,1707.27,1718.68
2020.05.29,1719.54,1737.69,1712.75,1730.41
2020.06.01,1735.40,1744.51,1726.84,1739.48
2020.06.02,1737.81,1745.09,1721.30,1727.45
2020.06.03,1727.04,1731.75,1689.21,1698.26
2020.06.04,1699.17,1721.73,1696.99,1712.80
2020.06.05,1714.75,1716.04,1670.55,1684.30
2020.06.08,1680.52,1700.67,1677.22,1698.39
2020.06.09,1700.09,1720.83,1692.11,1714.16
2020.06.10,1715.38,1739.75,1708.20,1737.83
2020.06.11,1737.94,1744.63,1721.27,1728.56
2020.06.12,1729.22,1743.03,1722.14,1730.57
2020.06.15,1730.76,1734.13,1704.11,1725.24
2020.06.16,1725.27,1732.84,1716.41,1726.41
2020.06.17,1725.00,1730.23,1712.60,1726.19
2020.06.18,1725.79,1737.59,1717.30,1722.48
2020.06.19,1722.81,1745.28,1721.17,1742.26
2020.06.22,1747.68,1763.20,1742.74,1754.55
2020.06.23,1753.97,1771.07,1747.29,1766.95
2020.06.24,1769.08,1779.43,1760.68,1761.28
2020.06.25,1759.56,1768.87,1755.26,1763.63
2020.06.26,1764.15,1772.03,1747.43,1769.57
2020.06.29,1770.32,1775.43,1765.61,1772.60
2020.06.30,1771.90,1785.94,1764.69,1780.54
2020.07.01,1781.61,1789.08,1759.22,1769.84
2020.07.02,1771.40,1779.39,1757.43,1774.97
2020.07.03,1776.49,1777.10,1772.66,1774.90
2020.07.06,1773.37,1787.00,1769.86,1784.25
2020.07.07,1785.22,1797.34,1773.47,1794.60
2020.07.08,1795.13,1817.92,1791.52,1808.45
2020.07.09,1809.37,1815.91,1795.42,1802.32
2020.07.10,1802.06,1810.43,1793.98,1798.57
2020.07.13,1799.11,1813.31,1797.73,1802.27
2020.07.14,1802.13,1810.84,1790.63,1808.99
2020.07.15,1807.97,1815.04,1802.45,1809.97
2020.07.16,1810.53,1813.29,1794.90,1796.84
2020.07.17,1798.09,1811.95,1795.75,1809.68
2020.07.20,1808.04,1820.53,1805.62,1817.21
2020.07.21,1817.92,1843.47,1815.59,1841.48
2020.07.22,1840.95,1872.02,1840.74,1871.22
2020.07.23,1873.97,1898.36,1863.64,1885.97
2020.07.24,1889.65,1906.50,1881.29,1901.63
2020.07.27,1902.64,1945.62,1902.54,1940.96
2020.07.28,1943.28,1981.16,1906.63,1957.98
2020.07.29,1962.16,1980.75,1941.33,1970.82
2020.07.30,1971.04,1971.32,1939.44,1957.54
2020.07.31,1955.50,1983.97,1955.33,1975.02
2020.08.03,1983.53,1984.90,1960.39,1975.98
2020.08.04,1977.36,2019.82,1966.66,2018.53
2020.08.05,2021.19,2055.57,2009.39,2038.96
2020.08.06,2040.28,2069.74,2034.44,2063.25
2020.08.07,2066.55,2074.87,2015.37,2033.15
2020.08.10,2026.31,2049.85,2019.15,2027.61
2020.08.11,2026.64,2029.92,1901.25,1912.57
2020.08.12,1915.36,1949.48,1862.58,1918.98
2020.08.13,1919.72,1966.16,1912.66,1953.64
2020.08.14,1951.38,1962.37,1932.07,1943.57
